ptdfAT|ptdfBE|ptdfDE|ptdfFR|ptdfNL|ram|timestamp
0.17327|0|0.01464|-0.01744|0|831|2019-02-15T04:00:00Z
0.17382|0.00661|0.01469|-0.0108|0|831|2019-02-15T04:00:00Z
0.1729|-0.00403|0.01461|-0.02168|0|837|2019-02-15T04:00:00Z
0.18206|-0.00425|0.02542|-0.01131|0|837|2019-02-15T04:00:00Z
0.17107|-0.00298|0.00367|-0.00631|0|837|2019-02-15T04:00:00Z
0.17443|-0.01092|0.0208|-0.02729|0|837|2019-02-15T04:00:00Z
0.16945|-0.00395|0.00304|-0.01053|0|837|2019-02-15T04:00:00Z
0.1749|-0.01086|0.01828|-0.01086|0|823|2019-02-15T04:00:00Z
0.17027|-0.00829|0.00867|-0.00829|0|823|2019-02-15T04:00:00Z
0.17585|-0.00242|0.01486|-0.00242|0|823|2019-02-15T04:00:00Z
0.17223|-0.00352|0.00921|-0.00352|0|823|2019-02-15T04:00:00Z
0.17716|-0.00413|0.01816|-0.00413|0|823|2019-02-15T04:00:00Z
0.1748|-0.00408|0.01477|-0.00056|0|823|2019-02-15T04:00:00Z
0.1724|-0.01381|0.01571|-0.01381|0|823|2019-02-15T04:00:00Z
0.1704|-0.01058|0.01028|-0.01058|0|823|2019-02-15T04:00:00Z
0.17088|-0.01467|0.01444|-0.01061|0|823|2019-02-15T04:00:00Z
-0.00217|0.00953|-0.01005|0.00131|0.08897|336|2019-02-15T12:00:00Z
-0.02115|0.04308|0.04357|0.04196|0.04304|390|2019-02-15T12:00:00Z
-0.09235|0.0247|0.02667|0.02468|0.02405|734|2019-02-15T12:00:00Z
-0.08787|0.01635|0.02105|-0.00321|0.02328|656|2019-02-15T12:00:00Z
-0.15489|0.04998|0.03189|0.05551|0.04627|1254|2019-02-15T12:00:00Z
-0.01164|-0.0638|-0.0022|-0.04031|-0.19716|1017|2019-02-15T12:00:00Z
0.01164|0.0638|0.0022|0.04031|0.19716|732|2019-02-15T12:00:00Z
0.01785|0.27831|-0.01791|0.12074|-0.01949|1251|2019-02-15T12:00:00Z
0.01306|0.14331|-0.01235|0.08571|-0.16749|1462|2019-02-15T12:00:00Z
-0.01348|-0.18395|0.01271|-0.08796|0.17484|865|2019-02-15T12:00:00Z
0.00483|-0.07817|-0.00407|0.01951|-0.0293|568|2019-02-15T12:00:00Z
0.01352|-0.15772|-0.01391|0.10479|-0.09068|1429|2019-02-15T12:00:00Z
0.01583|-0.17835|-0.0165|0.12672|-0.10388|1650|2019-02-15T12:00:00Z
-0.00483|0.07817|0.00407|-0.01951|0.0293|347|2019-02-15T12:00:00Z
-0.01443|0.02559|0.01493|-0.11348|0.09624|499|2019-02-15T12:00:00Z
0.00211|0.01254|1e-04|0.00768|0.21151|599|2019-02-15T12:00:00Z
-0.01351|-0.11101|0.0084|-0.06106|-0.15461|603|2019-02-15T12:00:00Z
0|-1|0|0|0|6000|2019-02-15T12:00:00Z
-0.25056|-0.35798|-0.22754|-0.30147|0|837|2019-02-15T12:00:00Z
-0.24911|-0.35737|-0.22584|-0.30019|0|837|2019-02-15T12:00:00Z
-0.25012|-0.35736|-0.22687|-0.30061|0|837|2019-02-15T12:00:00Z
-0.24789|-0.35671|-0.22428|-0.29948|0|837|2019-02-15T12:00:00Z
-0.25|-0.35664|-0.22641|-0.30033|0|837|2019-02-15T12:00:00Z
-0.25024|-0.35752|-0.22697|-0.30139|0|837|2019-02-15T12:00:00Z
-0.25031|-0.35802|-0.22729|-0.3015|0|837|2019-02-15T12:00:00Z
-0.24855|-0.35729|-0.22523|-0.29989|0|837|2019-02-15T12:00:00Z
-0.24967|-0.35671|-0.22608|-0.30039|0|837|2019-02-15T12:00:00Z
-0.25117|-0.35753|-0.22794|-0.30169|0|837|2019-02-15T12:00:00Z
-0.25444|-0.35874|-0.23181|-0.30384|0|837|2019-02-15T12:00:00Z
-0.00287|0.09519|-0.07016|0.15982|0|898|2019-02-15T12:00:00Z
0.00282|0.10564|-0.05931|0.18187|0|898|2019-02-15T12:00:00Z
0.0185|0.10878|-0.04732|0.18782|0|898|2019-02-15T12:00:00Z
0.01833|0.10216|-0.04762|0.18512|0|898|2019-02-15T12:00:00Z
