SESSION_ID,MATRIX_ID,ROW_ID,REMAININGAVAILABLEMARGIN
20181001,2,123503,278
20181001,2,123510,278
20181001,2,123518,868
20181001,2,123637,419
20181001,2,123674,278
20181001,2,123748,868
20181001,2,123862,874
20181001,2,123889,278
20181001,2,123923,419
20181001,2,123972,419
20181001,2,124033,419
20181001,2,124088,277
20181001,2,124229,321
20181001,2,124246,904
20181001,2,124337,874
20181001,2,124577,1022
20181001,2,124590,874
20181001,2,124732,860
20181001,3,58,860
20181001,3,210,1719
20181001,3,412,868
20181001,3,465,868
20181001,3,522,387
20181001,3,618,430
20181001,3,672,419
20181001,3,713,1254
20181001,3,780,914
20181001,3,801,419
20181001,3,833,868
20181001,3,884,419
20181001,3,890,968
20181001,3,921,961
20181001,3,947,294
20181001,3,953,419
20181001,3,961,425
20181001,3,1053,961
20181001,3,1082,345
20181001,3,1156,868
20181001,3,1233,419
20181001,3,1237,419
20181001,3,1305,712
20181001,3,1341,430
20181001,3,1454,961
20181001,3,1686,868
20181001,3,1696,345
20181001,3,1783,419
20181001,3,1815,419
20181001,3,1893,961
20181001,3,1932,419
20181001,3,1957,419
20181001,3,2057,419
20181001,3,2362,550
20181001,3,2459,294
20181001,3,2495,250
20181001,3,2627,961
20181001,3,2946,345
20181001,3,2954,419
20181001,3,2998,419
20181001,3,3097,1061
20181001,3,3131,550
20181001,3,3142,860
20181001,3,3179,1178
20181001,3,3306,874
20181001,3,3349,1383
20181001,3,3374,250
20181001,3,3506,425
20181001,3,3516,419
20181001,3,3547,294
20181001,3,3564,345
20181001,3,3630,345
20181001,3,3856,419
20181001,3,3872,419
20181001,3,3935,430
20181001,3,3943,419
20181001,3,4079,1356
20181001,3,4178,419
20181001,3,4228,250
20181001,3,4401,874
20181001,3,4509,550
20181001,3,4641,294
20181001,3,4651,250
20181001,3,4807,419
20181001,3,4819,874
20181001,3,4831,321
20181001,3,4894,419
20181001,3,5024,321
20181001,3,5070,419
20181001,3,5194,419
20181001,3,5330,550
20181001,3,5341,874
20181001,3,5391,773
20181001,3,5395,335
20181001,3,5471,874
20181001,3,5603,868
20181001,3,5671,321
20181001,3,5716,866
20181001,3,5780,419
20181001,3,5790,961
20181001,3,5800,550
20181001,3,5839,345
20181001,3,5865,419
20181001,3,5981,355
20181001,3,6093,345
20181001,3,6094,874
20181001,3,6141,294
20181001,3,6198,961
20181001,3,6261,1366
20181001,3,6373,294
20181001,3,6381,5000
20181001,3,6432,335
20181001,3,6458,419
20181001,3,6754,961
20181001,3,6756,860
20181001,3,6825,250
20181001,3,6853,493
20181001,3,6862,419
20181001,3,6885,294
20181001,3,6963,860
20181001,3,7049,294
